SYSTEM:Time(s)	SubMechanism.ibFlap/Flap:roll(deg)	SubMechanism.ibFlap/Flap:x(mm)	SubMechanism.ibFlap/Flap:y(mm)	SubMechanism.ibFlap/Flap:z(mm)
0.389	-0.557	24535.189	-3853.534	3190.228	
0.39	-0.557	24535.192	-3853.533	3190.228	
0.391	-0.557	24535.194	-3853.533	3190.227	
0.392	-0.557	24535.196	-3853.533	3190.227	
0.393	-0.557	24535.2	-3853.532	3190.227	
0.394	-0.557	24535.202	-3853.532	3190.226	
0.395	-0.556	24535.206	-3853.531	3190.226	
0.396	-0.556	24535.208	-3853.531	3190.225	
0.397	-0.556	24535.212	-3853.531	3190.225	
0.398	-0.556	24535.213	-3853.53	3190.224	
0.399	-0.556	24535.215	-3853.53	3190.224	
0.4	-0.556	24535.219	-3853.53	3190.223	
0.401	-0.556	24535.221	-3853.529	3190.223	
0.402	-0.556	24535.225	-3853.529	3190.222	
0.403	-0.555	24535.227	-3853.529	3190.222	
0.404	-0.555	24535.231	-3853.528	3190.221	
0.405	-0.555	24535.233	-3853.528	3190.221	
0.406	-0.555	24535.236	-3853.528	3190.22	
0.407	-0.555	24535.238	-3853.527	3190.22	
0.408	-0.555	24535.24	-3853.527	3190.219	
0.409	-0.555	24535.244	-3853.526	3190.219	
0.41	-0.555	24535.246	-3853.526	3190.218	
0.411	-0.554	24535.25	-3853.526	3190.218	
0.412	-0.554	24535.252	-3853.525	3190.217	
0.413	-0.554	24535.255	-3853.525	3190.217	
0.414	-0.554	24535.257	-3853.525	3190.217	
0.415	-0.554	24535.261	-3853.524	3190.216	
0.416	-0.554	24535.263	-3853.524	3190.216	
0.417	-0.554	24535.267	-3853.523	3190.215	
0.418	-0.553	24535.269	-3853.523	3190.215	
0.419	-0.553	24535.273	-3853.523	3190.214	
0.42	-0.553	24535.275	-3853.522	3190.214	
0.421	-0.553	24535.278	-3853.522	3190.213	
0.422	-0.553	24535.28	-3853.522	3190.213	
0.423	-0.553	24535.284	-3853.521	3190.212	
0.424	-0.553	24535.286	-3853.521	3190.212	
0.425	-0.553	24535.29	-3853.52	3190.211	
0.426	-0.552	24535.294	-3853.52	3190.211	
0.427	-0.552	24535.295	-3853.52	3190.21	
0.428	-0.552	24535.299	-3853.519	3190.21	
0.429	-0.552	24535.301	-3853.519	3190.209	
0.43	-0.552	24535.305	-3853.518	3190.209	
0.431	-0.552	24535.307	-3853.518	3190.208	
0.432	-0.552	24535.311	-3853.518	3190.208	
0.433	-0.551	24535.313	-3853.517	3190.207	
0.434	-0.551	24535.316	-3853.517	3190.207	
0.435	-0.551	24535.32	-3853.517	3190.206	
0.436	-0.551	24535.322	-3853.516	3190.206	
0.437	-0.551	24535.326	-3853.516	3190.205	
0.438	-0.551	24535.328	-3853.515	3190.205	
0.439	-0.551	24535.332	-3853.515	3190.204	
0.44	-0.551	24535.334	-3853.515	3190.204	
0.441	-0.55	24535.337	-3853.514	3190.203	
0.442	-0.55	24535.341	-3853.514	3190.203	
0.443	-0.55	24535.343	-3853.513	3190.202	
0.444	-0.55	24535.347	-3853.513	3190.202	
0.445	-0.55	24535.349	-3853.513	3190.201	
0.446	-0.55	24535.353	-3853.512	3190.201	
0.447	-0.55	24535.357	-3853.512	3190.2	
0.448	-0.549	24535.358	-3853.511	3190.2	
0.449	-0.549	24535.362	-3853.511	3190.199	
0.45	-0.549	24535.364	-3853.511	3190.198	
0.451	-0.549	24535.368	-3853.51	3190.198	
0.452	-0.549	24535.372	-3853.51	3190.197	
0.453	-0.549	24535.374	-3853.509	3190.197	
0.454	-0.549	24535.378	-3853.509	3190.196	
0.455	-0.548	24535.381	-3853.508	3190.196	
0.456	-0.548	24535.383	-3853.508	3190.195	
0.457	-0.548	24535.387	-3853.508	3190.195	
0.458	-0.548	24535.389	-3853.507	3190.194	
0.459	-0.548	24535.393	-3853.507	3190.194	
0.46	-0.548	24535.397	-3853.507	3190.193	
0.461	-0.548	24535.398	-3853.506	3190.192	
0.462	-0.547	24535.402	-3853.506	3190.192	
0.463	-0.547	24535.406	-3853.505	3190.192	
0.464	-0.547	24535.408	-3853.505	3190.191	
0.465	-0.547	24535.412	-3853.504	3190.19	
0.466	-0.547	24535.416	-3853.504	3190.19	
0.467	-0.547	24535.418	-3853.503	3190.189	
0.468	-0.547	24535.421	-3853.503	3190.189	
0.469	-0.546	24535.425	-3853.503	3190.188	
0.47	-0.546	24535.429	-3853.502	3190.188	
0.471	-0.546	24535.431	-3853.502	3190.187	
0.472	-0.546	24535.435	-3853.501	3190.187	
0.473	-0.546	24535.439	-3853.501	3190.186	
0.474	-0.546	24535.44	-3853.501	3190.186	
0.475	-0.546	24535.444	-3853.5	3190.185	
0.476	-0.545	24535.448	-3853.5	3190.184	
0.477	-0.545	24535.45	-3853.499	3190.184	
0.478	-0.545	24535.454	-3853.499	3190.183	
0.479	-0.545	24535.458	-3853.498	3190.183	
0.48	-0.545	24535.461	-3853.498	3190.182	
0.481	-0.545	24535.463	-3853.498	3190.181	
0.482	-0.544	24535.467	-3853.497	3190.181	
0.483	-0.544	24535.471	-3853.497	3190.18	
0.484	-0.544	24535.475	-3853.496	3190.18	
0.485	-0.544	24535.477	-3853.496	3190.179	
0.486	-0.544	24535.48	-3853.495	3190.179	
0.487	-0.544	24535.484	-3853.495	3190.178	
0.488	-0.544	24535.488	-3853.494	3190.177	
0.489	-0.543	24535.49	-3853.494	3190.177	
0.49	-0.543	24535.494	-3853.493	3190.176	
0.491	-0.543	24535.498	-3853.493	3190.176	
0.492	-0.543	24535.501	-3853.493	3190.175	
0.493	-0.543	24535.503	-3853.492	3190.175	
0.494	-0.543	24535.507	-3853.492	3190.174	
0.495	-0.542	24535.511	-3853.491	3190.173	
0.496	-0.542	24535.515	-3853.491	3190.173	
0.497	-0.542	24535.519	-3853.49	3190.172	
0.498	-0.542	24535.521	-3853.49	3190.172	
0.499	-0.542	24535.524	-3853.489	3190.171	
0.5	-0.542	24535.528	-3853.489	3190.171	
0.501	-0.542	24535.532	-3853.488	3190.17	
0.502	-0.541	24535.536	-3853.488	3190.169	
0.503	-0.541	24535.538	-3853.488	3190.169	
0.504	-0.541	24535.542	-3853.487	3190.168	
0.505	-0.541	24535.545	-3853.487	3190.168	
0.506	-0.541	24535.549	-3853.486	3190.167	
0.507	-0.541	24535.553	-3853.486	3190.166	
0.508	-0.54	24535.555	-3853.485	3190.166	
0.509	-0.54	24535.559	-3853.485	3190.165	
0.51	-0.54	24535.563	-3853.484	3190.165	
0.511	-0.54	24535.566	-3853.484	3190.164	
0.512	-0.54	24535.57	-3853.483	3190.163	
0.513	-0.54	24535.574	-3853.483	3190.163	
